Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
2044,2044,1457413206,1039,161,123,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,5,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,50,15NORTHBOUND,50,23,1.23,8.44715447154,13.3333333333,10.39,308,713,0.162337662338,12.9909754461
2045,2045,1457416804,1039,161,126,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,6,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,136,15NORTHBOUND,136,26,1.26,8.24603174603,13.3333333333,10.39,308,713,0.441558441558,11.1578452129
2046,2046,1457420403,1039,161,147,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,7,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,214,15NORTHBOUND,214,47,1.47,7.06802721088,13.3333333333,10.39,308,713,0.694805194805,8.99227451538
2047,2047,1457424003,1039,161,173,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,8,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,350,15NORTHBOUND,350,73,1.73,6.00578034682,13.3333333333,10.39,308,713,1.13636363636,5.81905620679
2048,2048,1457427603,1039,161,175,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,9,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,632,15NORTHBOUND,632,75,1.75,5.93714285714,13.3333333333,10.39,308,713,2.05194805195,2.55893999719
2049,2049,1457431204,1039,161,171,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,10,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,520,15NORTHBOUND,520,71,1.71,6.07602339181,13.3333333333,10.39,308,713,1.68831168831,3.46284696366
2050,2050,1457434803,1039,161,154,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,11,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,519,15NORTHBOUND,519,54,1.54,6.74675324675,13.3333333333,10.39,308,713,1.68506493506,3.47272519276
2051,2051,1457438407,1039,161,167,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,12,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,447,15NORTHBOUND,447,67,1.67,6.22155688623,13.3333333333,10.39,308,713,1.4512987013,4.29239643039
2052,2052,1457442007,1039,161,164,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,13,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,491,15NORTHBOUND,491,64,1.64,6.33536585366,13.3333333333,10.39,308,713,1.59415584416,3.76506074903
2053,2053,1457445604,1039,161,155,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,14,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,518,15NORTHBOUND,518,55,1.55,6.70322580645,13.3333333333,10.39,308,713,1.68181818182,3.48264076273
2054,2054,1457449207,1039,161,189,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,15,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,554,15NORTHBOUND,554,89,1.89,5.49735449735,13.3333333333,10.39,308,713,1.7987012987,3.14812418073
2055,2055,1457452804,1039,161,207,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,16,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,659,15NORTHBOUND,659,107,2.07,5.0193236715,13.3333333333,10.39,308,713,2.13961038961,2.39037188924
2056,2056,1457456404,1039,161,173,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,17,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,653,15NORTHBOUND,653,73,1.73,6.00578034682,13.3333333333,10.39,308,713,2.12012987013,2.42647007102
