loc_key,Orig_lat,Orig_lng,Dest_lat,Dest_lng
102W,51.4364544,0.1774763,51.448403799999994,0.12835239999999998
11N,51.40886939999999,0.0800096,51.412392,0.07430419999999999
11S,51.412392,0.07430419999999999,51.40886939999999,0.0800096
14N,51.472859899999996,-0.023521599999999997,51.4804927,-0.0231821
14S,51.480488,-0.0230457,51.472859899999996,-0.023521599999999997
15N,51.5238399,0.0574946,51.532951700000005,0.0546206
15S,51.532951700000005,0.0546206,51.5238399,0.0574946
17N,51.62722539999999,-0.12583450000000002,51.6320409,-0.12748289999999998
17S,51.6320409,-0.12748289999999998,51.62722539999999,-0.12583450000000002
19E,51.6070365,-0.27476540000000005,51.60920720000001,-0.26601529999999995
19W,51.60920720000001,-0.26601529999999995,51.6070365,-0.27476540000000005
20-,51.593387400000005,0.0848936,51.588549,0.0808322
22N,51.3304849,-0.1036242,51.3346809,-0.11217239999999999
22S,51.3346809,-0.11217239999999999,51.3304849,-0.1036242
23N,51.465984399999996,-0.1166868,51.4723006,-0.1222237
23S,51.4723006,-0.1222237,51.465984399999996,-0.1166868
25W,51.540941,0.1654404,51.5463879,0.16483520000000002
27E,51.534110999999996,0.0115665,51.5296297,0.023886
27W,51.5296297,0.023886,51.534110999999996,0.0115665
29N,51.4566281,-0.33056740000000007,51.467568,-0.3295259
29S,51.467568,-0.3295259,51.4566281,-0.33056740000000007
31N,51.5508911,-0.1306969,51.5540164,-0.134819
31S,51.5540164,-0.134819,51.5508911,-0.1306969
33N,51.4530617,-0.10103469999999999,51.457028,-0.0963575
33S,51.457028,-0.0963575,51.4530617,-0.10103469999999999
35N,51.44952429999999,-0.07296849999999999,51.45332979999999,-0.0701958
35S,51.45332979999999,-0.0701958,51.44952429999999,-0.07296849999999999
36N,51.540915999999996,0.0554249,51.543760799999994,0.054685500000000005
36S,51.543760799999994,0.054685500000000005,51.540915999999996,0.0554249
37N,51.4816172,-0.3239842,51.48315,-0.326806
37S,51.48315,-0.326806,51.4816172,-0.3239842
39N,51.49246779999999,-0.46931709999999993,51.4980644,-0.4686262
39S,51.4980644,-0.4686262,51.49246779999999,-0.46931709999999993
40E,51.6718221,-0.0399505,51.671278,-0.031208499999999997
40W,51.671278,-0.031208499999999997,51.6718221,-0.0399505
41N,51.438087700000004,-0.2131928,51.4417083,-0.21680770000000002
41S,51.4417083,-0.21680770000000002,51.438087700000004,-0.2131928
42N,51.5180086,-0.4391647,51.5229177,-0.44029880000000005
42S,51.5229177,-0.44029880000000005,51.5180086,-0.4391647
43E,51.489123,-0.3015009,51.488677100000004,-0.2894982
43W,51.488677100000004,-0.2894982,51.489123,-0.3015009
45E,51.5296292,0.1019929,51.5294107,0.107865
45W,51.5294107,0.107865,51.5296292,0.1019929
46E,51.6038698,-0.3521945,51.6043935,-0.340337
46W,51.6043935,-0.340337,51.6038698,-0.3521945
48N,51.3718957,-0.0471616,51.3741868,-0.048075400000000004
48S,51.3741868,-0.048075400000000004,51.3718957,-0.0471616
54N,51.5086821,-0.2156843,51.5122705,-0.2177689
54S,51.5122705,-0.2177689,51.5086821,-0.2156843
58E,51.38005510000001,-0.19160529999999998,51.378274600000005,-0.1864154
58W,51.378274600000005,-0.1864154,51.38005510000001,-0.19160529999999998
59E,51.588636,-0.19484210000000002,51.581833,-0.1600002
59W,51.581833,-0.1600002,51.588636,-0.19484210000000002
66N,51.566282,0.0024351,51.56932929999999,0.0079081
66S,51.56932929999999,0.0079081,51.566282,0.0024351
67N,51.4909357,-0.14956629999999999,51.4953274,-0.1458752
67S,51.496649100000006,-0.1448493,51.4909357,-0.14956629999999999
68E,51.5490011,-0.2482708,51.5483519,-0.24093179999999997
68W,51.5483519,-0.24093179999999997,51.5490011,-0.2482708
6E,51.441092499999996,-0.0913334,51.4431736,-0.0681643
6W,51.4431736,-0.0681643,51.441092499999996,-0.0913334
70N,51.5466961,-0.08707589999999998,51.5493986,-0.08716139999999999
70S,51.5493986,-0.08716139999999999,51.5466961,-0.08707589999999998
73N,51.4687953,-0.0556711,51.472271500000005,-0.057280099999999994
73S,51.472271500000005,-0.057280099999999994,51.4687953,-0.0556711
74N,51.561971899999996,-0.1488435,51.56950629999999,-0.1481316
74S,51.56950629999999,-0.1481316,51.561971899999996,-0.1488435
7N,51.6300955,-0.0781079,51.648928399999996,-0.060295400000000006
7S,51.648917,-0.0600521,51.6299841,-0.0779832
9N,51.4573656,-0.3219232,51.464906299999996,-0.3013827
9S,51.464807799999996,-0.301316,51.4573656,-0.3219232
