Site,Location,Comments,Road_Class,MajorMinor,OSGRX,OSGRY,Lat,Lng,Borough,Lane_1,Lane_2,Notes,origin_coords,destination_coords,
48,"Spring Park Avenue, Shirley",,Unclassified,Minor,535993,165533,51.372577,-0.047612,Croydon,N,,,"51.371895, -0.047165","51.374186, -0.048081",
,,,,,,,,,,S,,,"51.374186, -0.048081","51.371895, -0.047165",
54,"St Ann's Road, N. Kens'ton W11",Site not producing MDBs,Unclassified,Minor,523865,180588,51.510652,-0.216493,Ken&Chel,S,,,"51.512271, -0.217765","51.508682, -0.215685",
,,,,,,,,,,N,,,"51.508682, -0.215685","51.512271, -0.217765",
58,"Rosehill Park West, Sutton",,Unclassified,Minor,526027,166031,51.37935,-0.190534,Sutton,W,,,"51.378278, -0.186419","51.380056, -0.191605",
,,,,,,,,,,E,,,"51.380056, -0.191605","51.378278, -0.186419",
59,A1 Lyttleton Rd N2,,Trunk,Major,526774,188877,51.584499,-0.171613,Barnet,E,,,"51.588636, -0.194842","51.581843, -0.159997",
,,,,,,,,,,W,,,"51.581843, -0.159997","51.588636, -0.194842",
66,A106 Grove Green Rd E11,,Trunk,Major,538973,187195,51.566511,0.003684,W.Forest,S,,,"51.569332, 0.007905","51.566290, 0.002423",
,,,,,,,,,,N,,,"51.566290, 0.002423","51.569332, 0.007905",
67,A3214 Buckingham Pal. Rd SW1,,Principal,Major,528734,178787,51.493379,-0.147026,Westminster,S,,,"51.496649, -0.144849","51.490941, -0.149578",
,,,,,,,,,,N,,,"51.490941, -0.149578","51.495319, -0.145892",
68,A407 High Road Willesden NW10,,Principal,Major,521863,184810,51.549031,-0.243868,Brent,W,,,"51.548361, -0.240919","51.548998, -0.248269",
,,,,,,,,,,E,,,"51.548998, -0.248269","51.548361, -0.240919",
70,A105 Newington Green Road N1,,Principal,Major,532753,184963,51.547951,-0.086844,Islington,N,,,"51.546697, -0.087079","51.549399, -0.087164",
,,,,,,,,,,S,,,"51.549399, -0.087164","51.546697, -0.087079",
73,Hollydale Road SE15,,Unclassified,Minor,535070,176471,51.47109,-0.056699,Southwark,S,,,"51.472272, -0.057285","51.468794, -0.055678",
,,,,,,,,,,N,,,"51.468794, -0.055678","51.472272, -0.057285",
74,"Swains Lane, Camden N6",,Unclassified,Minor,528558,186620,51.563812,-0.146704,Camden,N,,,"51.561973, -0.148844","51.569504, -0.148139",
,,,,,,,,,,S,,,"51.569504, -0.148139","51.561973, -0.148844",
102,"A2 Rochester Way, Bexley",Only lane 3,Trunk,Major,550035,174066,51.445714,0.157587,Bexley,W,,,"51.436455, 0.177477","51.448410, 0.128354",
