,Site,Date,Hour,Direction,Volume
111,9,2016-02-29,8,SOUTHBOUND,1474
112,9,2016-02-29,9,NORTHBOUND,1998
113,9,2016-02-29,9,SOUTHBOUND,1375
114,9,2016-02-29,10,NORTHBOUND,1716
115,9,2016-02-29,10,SOUTHBOUND,1052
116,9,2016-02-29,11,NORTHBOUND,1410
117,9,2016-02-29,11,SOUTHBOUND,986
118,9,2016-02-29,12,NORTHBOUND,1273
119,9,2016-02-29,12,SOUTHBOUND,1071
120,9,2016-02-29,13,NORTHBOUND,1166
121,9,2016-02-29,13,SOUTHBOUND,1206
122,9,2016-02-29,14,NORTHBOUND,1205
123,9,2016-02-29,14,SOUTHBOUND,1222
124,9,2016-02-29,15,NORTHBOUND,1177
125,9,2016-02-29,15,SOUTHBOUND,1408
126,9,2016-02-29,16,NORTHBOUND,1176
127,9,2016-02-29,16,SOUTHBOUND,1604
128,9,2016-02-29,17,NORTHBOUND,1347
129,9,2016-02-29,17,SOUTHBOUND,1731
130,9,2016-02-29,18,NORTHBOUND,1488
131,9,2016-02-29,18,SOUTHBOUND,1596
132,9,2016-02-29,19,NORTHBOUND,1540
133,9,2016-02-29,19,SOUTHBOUND,1652
134,9,2016-02-29,20,NORTHBOUND,1105
135,9,2016-02-29,20,SOUTHBOUND,1296
136,9,2016-02-29,21,NORTHBOUND,710
137,9,2016-02-29,21,SOUTHBOUND,833
138,9,2016-02-29,22,NORTHBOUND,455
139,9,2016-02-29,22,SOUTHBOUND,770
140,9,2016-02-29,23,NORTHBOUND,356
141,9,2016-02-29,23,SOUTHBOUND,553
142,9,2016-02-29,24,NORTHBOUND,254
143,9,2016-02-29,24,SOUTHBOUND,408
144,9,2016-03-01,1,NORTHBOUND,124
145,9,2016-03-01,1,SOUTHBOUND,193
146,9,2016-03-01,2,NORTHBOUND,101
147,9,2016-03-01,2,SOUTHBOUND,118
148,9,2016-03-01,3,NORTHBOUND,60
149,9,2016-03-01,3,SOUTHBOUND,95
150,9,2016-03-01,4,NORTHBOUND,67
151,9,2016-03-01,4,SOUTHBOUND,73
152,9,2016-03-01,5,NORTHBOUND,125
153,9,2016-03-01,5,SOUTHBOUND,107
154,9,2016-03-01,6,NORTHBOUND,419
155,9,2016-03-01,6,SOUTHBOUND,226
156,9,2016-03-01,7,NORTHBOUND,1698
157,9,2016-03-01,7,SOUTHBOUND,618
158,9,2016-03-01,8,NORTHBOUND,2118
159,9,2016-03-01,8,SOUTHBOUND,1409
160,9,2016-03-01,9,NORTHBOUND,1984
161,9,2016-03-01,9,SOUTHBOUND,1382
162,9,2016-03-01,10,NORTHBOUND,1719
163,9,2016-03-01,10,SOUTHBOUND,1110
164,9,2016-03-01,11,NORTHBOUND,1397
165,9,2016-03-01,11,SOUTHBOUND,945
166,9,2016-03-01,12,NORTHBOUND,1290
167,9,2016-03-01,12,SOUTHBOUND,1070
168,9,2016-03-01,13,NORTHBOUND,1223
169,9,2016-03-01,13,SOUTHBOUND,1125
170,9,2016-03-01,14,NORTHBOUND,1196
171,9,2016-03-01,14,SOUTHBOUND,1162
172,9,2016-03-01,15,NORTHBOUND,1156
173,9,2016-03-01,15,SOUTHBOUND,1296
174,9,2016-03-01,16,NORTHBOUND,1149
175,9,2016-03-01,16,SOUTHBOUND,1599
176,9,2016-03-01,17,NORTHBOUND,1370
177,9,2016-03-01,17,SOUTHBOUND,1694
178,9,2016-03-01,18,NORTHBOUND,1574
179,9,2016-03-01,18,SOUTHBOUND,1742
180,9,2016-03-01,19,NORTHBOUND,1661
181,9,2016-03-01,19,SOUTHBOUND,1647
182,9,2016-03-01,20,NORTHBOUND,1264
183,9,2016-03-01,20,SOUTHBOUND,1377
184,9,2016-03-01,21,NORTHBOUND,701
185,9,2016-03-01,21,SOUTHBOUND,896
186,9,2016-03-01,22,NORTHBOUND,561
187,9,2016-03-01,22,SOUTHBOUND,941
188,9,2016-03-01,23,NORTHBOUND,399
189,9,2016-03-01,23,SOUTHBOUND,645
190,9,2016-03-01,24,NORTHBOUND,276
191,9,2016-03-01,24,SOUTHBOUND,464
192,9,2016-03-02,1,NORTHBOUND,146
193,9,2016-03-02,1,SOUTHBOUND,250
194,9,2016-03-02,2,NORTHBOUND,106
195,9,2016-03-02,2,SOUTHBOUND,143
196,9,2016-03-02,3,NORTHBOUND,62
197,9,2016-03-02,3,SOUTHBOUND,98
198,9,2016-03-02,4,NORTHBOUND,76
199,9,2016-03-02,4,SOUTHBOUND,76
200,9,2016-03-02,5,NORTHBOUND,137
201,9,2016-03-02,5,SOUTHBOUND,123
202,9,2016-03-02,6,NORTHBOUND,440
203,9,2016-03-02,6,SOUTHBOUND,207
204,9,2016-03-02,7,NORTHBOUND,1698
205,9,2016-03-02,7,SOUTHBOUND,689
206,9,2016-03-02,8,NORTHBOUND,2084
207,9,2016-03-02,8,SOUTHBOUND,1369
208,9,2016-03-02,9,NORTHBOUND,2060
209,9,2016-03-02,9,SOUTHBOUND,1289
210,9,2016-03-02,10,NORTHBOUND,1777
211,9,2016-03-02,10,SOUTHBOUND,1160
212,9,2016-03-02,11,NORTHBOUND,1534
213,9,2016-03-02,11,SOUTHBOUND,1026
214,9,2016-03-02,12,NORTHBOUND,1325
215,9,2016-03-02,12,SOUTHBOUND,1085
216,9,2016-03-02,13,NORTHBOUND,1316
217,9,2016-03-02,13,SOUTHBOUND,1228
218,9,2016-03-02,14,NORTHBOUND,1298
219,9,2016-03-02,14,SOUTHBOUND,1314
220,9,2016-03-02,15,NORTHBOUND,1122
221,9,2016-03-02,15,SOUTHBOUND,1464
222,9,2016-03-02,16,NORTHBOUND,1245
223,9,2016-03-02,16,SOUTHBOUND,1540
224,9,2016-03-02,17,NORTHBOUND,1408
225,9,2016-03-02,17,SOUTHBOUND,1654
226,9,2016-03-02,18,NORTHBOUND,1626
227,9,2016-03-02,18,SOUTHBOUND,1720
228,9,2016-03-02,19,NORTHBOUND,1639
229,9,2016-03-02,19,SOUTHBOUND,1664
230,9,2016-03-02,20,NORTHBOUND,1235
231,9,2016-03-02,20,SOUTHBOUND,1423
232,9,2016-03-02,21,NORTHBOUND,691
233,9,2016-03-02,21,SOUTHBOUND,967
234,9,2016-03-02,22,NORTHBOUND,550
235,9,2016-03-02,22,SOUTHBOUND,989
236,9,2016-03-02,23,NORTHBOUND,424
237,9,2016-03-02,23,SOUTHBOUND,863
238,9,2016-03-02,24,NORTHBOUND,314
239,9,2016-03-02,24,SOUTHBOUND,663
240,9,2016-03-03,1,NORTHBOUND,190
241,9,2016-03-03,1,SOUTHBOUND,323
242,9,2016-03-03,2,NORTHBOUND,105
243,9,2016-03-03,2,SOUTHBOUND,203
244,9,2016-03-03,3,NORTHBOUND,80
245,9,2016-03-03,3,SOUTHBOUND,120
246,9,2016-03-03,4,NORTHBOUND,104
247,9,2016-03-03,4,SOUTHBOUND,98
248,9,2016-03-03,5,NORTHBOUND,129
249,9,2016-03-03,5,SOUTHBOUND,106
250,9,2016-03-03,6,NORTHBOUND,461
251,9,2016-03-03,6,SOUTHBOUND,234
252,9,2016-03-03,7,NORTHBOUND,1691
253,9,2016-03-03,7,SOUTHBOUND,633
254,9,2016-03-03,8,NORTHBOUND,2194
255,9,2016-03-03,8,SOUTHBOUND,1353
256,9,2016-03-03,9,NORTHBOUND,1935
257,9,2016-03-03,9,SOUTHBOUND,1343
258,9,2016-03-03,10,NORTHBOUND,1777
259,9,2016-03-03,10,SOUTHBOUND,1264
260,9,2016-03-03,11,NORTHBOUND,1480
261,9,2016-03-03,11,SOUTHBOUND,1153
262,9,2016-03-03,12,NORTHBOUND,1279
263,9,2016-03-03,12,SOUTHBOUND,1178
264,9,2016-03-03,13,NORTHBOUND,1341
265,9,2016-03-03,13,SOUTHBOUND,1284
266,9,2016-03-03,14,NORTHBOUND,1275
267,9,2016-03-03,14,SOUTHBOUND,1300
268,9,2016-03-03,15,NORTHBOUND,1191
269,9,2016-03-03,15,SOUTHBOUND,1431
270,9,2016-03-03,16,NORTHBOUND,1248
271,9,2016-03-03,16,SOUTHBOUND,1490
272,9,2016-03-03,17,NORTHBOUND,1434
273,9,2016-03-03,17,SOUTHBOUND,1671
274,9,2016-03-03,18,NORTHBOUND,1569
275,9,2016-03-03,18,SOUTHBOUND,1653
276,9,2016-03-03,19,NORTHBOUND,1582
277,9,2016-03-03,19,SOUTHBOUND,1602
278,9,2016-03-03,20,NORTHBOUND,1329
279,9,2016-03-03,20,SOUTHBOUND,1521
280,9,2016-03-03,21,NORTHBOUND,762
281,9,2016-03-03,21,SOUTHBOUND,1018
282,9,2016-03-03,22,NORTHBOUND,581
283,9,2016-03-03,22,SOUTHBOUND,1054
284,9,2016-03-03,23,NORTHBOUND,443
285,9,2016-03-03,23,SOUTHBOUND,883
286,9,2016-03-03,24,NORTHBOUND,304
287,9,2016-03-03,24,SOUTHBOUND,676
288,9,2016-03-04,1,NORTHBOUND,226
289,9,2016-03-04,1,SOUTHBOUND,398
290,9,2016-03-04,2,NORTHBOUND,146
291,9,2016-03-04,2,SOUTHBOUND,236
292,9,2016-03-04,3,NORTHBOUND,114
293,9,2016-03-04,3,SOUTHBOUND,149
294,9,2016-03-04,4,NORTHBOUND,119
295,9,2016-03-04,4,SOUTHBOUND,124
296,9,2016-03-04,5,NORTHBOUND,139
297,9,2016-03-04,5,SOUTHBOUND,115
298,9,2016-03-04,6,NORTHBOUND,406
299,9,2016-03-04,6,SOUTHBOUND,212
300,9,2016-03-04,7,NORTHBOUND,1596
301,9,2016-03-04,7,SOUTHBOUND,603
302,9,2016-03-04,8,NORTHBOUND,2058
303,9,2016-03-04,8,SOUTHBOUND,1251
304,9,2016-03-04,9,NORTHBOUND,2014
305,9,2016-03-04,9,SOUTHBOUND,1231
306,9,2016-03-04,10,NORTHBOUND,1644
307,9,2016-03-04,10,SOUTHBOUND,1205
308,9,2016-03-04,11,NORTHBOUND,1378
309,9,2016-03-04,11,SOUTHBOUND,1269
310,9,2016-03-04,12,NORTHBOUND,1334
311,9,2016-03-04,12,SOUTHBOUND,1248
312,9,2016-03-04,13,NORTHBOUND,1352
313,9,2016-03-04,13,SOUTHBOUND,1411
314,9,2016-03-04,14,NORTHBOUND,1267
315,9,2016-03-04,14,SOUTHBOUND,1417
316,9,2016-03-04,15,NORTHBOUND,1232
317,9,2016-03-04,15,SOUTHBOUND,1610
318,9,2016-03-04,16,NORTHBOUND,1473
319,9,2016-03-04,16,SOUTHBOUND,1539
320,9,2016-03-04,17,NORTHBOUND,1397
321,9,2016-03-04,17,SOUTHBOUND,1597
